Considering the following 229 assemblies for download:
GCF_000465235.1	Campylobacter coli CVM N29710
GCF_000494775.1	Campylobacter coli 15-537360
GCF_000583755.1	Campylobacter coli RM1875
GCF_000583795.1	Campylobacter coli RM5611
GCF_000954195.1	Campylobacter coli
GCF_001417635.1	Campylobacter coli
GCF_001483845.1	Campylobacter coli
GCF_001639125.1	Campylobacter coli
GCF_001717605.1	Campylobacter coli
GCF_001865455.1	Campylobacter coli
GCF_001865475.1	Campylobacter coli
GCF_001865495.1	Campylobacter coli
GCF_001865515.1	Campylobacter coli
GCF_001865535.1	Campylobacter coli
GCF_001865555.1	Campylobacter coli
GCF_001936355.1	Campylobacter coli
GCF_002024185.1	Campylobacter coli
GCF_002407145.1	Campylobacter coli
GCF_002843985.1	Campylobacter coli
GCF_003030205.1	Campylobacter coli
GCF_000015085.1	Campylobacter fetus subsp. fetus 82-40
GCF_000495505.1	Campylobacter fetus subsp. testudinum 03-427
GCF_000512745.2	Campylobacter fetus subsp. venerealis cfvi03/293
GCF_000759485.1	Campylobacter fetus subsp. fetus 04/554
GCF_000759515.1	Campylobacter fetus subsp. venerealis 97/608
GCF_000814265.1	Campylobacter fetus subsp. testudinum
GCF_000967135.1	Campylobacter fetus subsp. venerealis str. 84-112
GCF_001484645.1	Campylobacter fetus subsp. testudinum Sp3
GCF_001686885.1	Campylobacter fetus subsp. venerealis
GCF_002973655.1	Campylobacter fetus subsp. testudinum
GCF_900475935.1	Campylobacter fetus subsp. fetus
GCF_000009085.1	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
GCF_000011865.1	Campylobacter jejuni RM1221
GCF_000015525.1	Campylobacter jejuni subsp. jejuni 81-176
GCF_000017905.1	Campylobacter jejuni subsp. jejuni 81116
GCF_000025425.1	Campylobacter jejuni subsp. jejuni IA3902
GCF_000148705.1	Campylobacter jejuni subsp. jejuni M1
GCF_000171795.2	Campylobacter jejuni subsp. jejuni CG8421
GCF_000184205.1	Campylobacter jejuni subsp. jejuni S3
GCF_000302555.5	Campylobacter jejuni subsp. jejuni PT14
GCF_000304375.1	Campylobacter jejuni subsp. jejuni NCTC 11168-BN148
GCF_000430385.1	Campylobacter jejuni 32488
GCF_000466065.2	Campylobacter jejuni subsp. jejuni 00-2538
GCF_000466075.2	Campylobacter jejuni subsp. jejuni 00-2544
GCF_000466105.2	Campylobacter jejuni subsp. jejuni 00-2426
GCF_000468915.2	Campylobacter jejuni subsp. jejuni 00-2425
GCF_000493495.1	Campylobacter jejuni 4031
GCF_000737085.1	Campylobacter jejuni subsp. jejuni
GCF_000772225.1	Campylobacter jejuni subsp. jejuni F38011
GCF_000830775.1	Campylobacter jejuni subsp. jejuni NCTC 11168-K12E5
GCF_000830805.1	Campylobacter jejuni subsp. jejuni NCTC 11168-Kf1
GCF_000830825.1	Campylobacter jejuni subsp. jejuni NCTC 11168-mcK12E5
GCF_000830845.1	Campylobacter jejuni subsp. jejuni NCTC 11168-mfK12E5
GCF_000830865.1	Campylobacter jejuni subsp. jejuni NCTC 11168-GSv
GCF_000835285.1	Campylobacter jejuni subsp. jejuni
GCF_000835305.1	Campylobacter jejuni subsp. jejuni
GCF_000835345.1	Campylobacter jejuni subsp. jejuni
GCF_000835365.1	Campylobacter jejuni subsp. jejuni
GCF_000934305.1	Campylobacter jejuni subsp. jejuni
GCF_001299565.1	Campylobacter jejuni subsp. jejuni
GCF_001299595.1	Campylobacter jejuni subsp. jejuni
GCF_001314285.1	Campylobacter jejuni
GCF_001412295.1	Campylobacter jejuni
GCF_001457695.1	Campylobacter jejuni
GCF_001506185.1	Campylobacter jejuni
GCF_001506205.1	Campylobacter jejuni
GCF_001506225.1	Campylobacter jejuni
GCF_001506245.1	Campylobacter jejuni
GCF_001506265.1	Campylobacter jejuni
GCF_001506285.1	Campylobacter jejuni
GCF_001506305.1	Campylobacter jejuni
GCF_001506345.1	Campylobacter jejuni
GCF_001506365.1	Campylobacter jejuni
GCF_001506385.1	Campylobacter jejuni
GCF_001506405.1	Campylobacter jejuni
GCF_001506425.1	Campylobacter jejuni
GCF_001506445.1	Campylobacter jejuni
GCF_001506465.1	Campylobacter jejuni
GCF_001506485.1	Campylobacter jejuni
GCF_001506505.1	Campylobacter jejuni
GCF_001506525.1	Campylobacter jejuni
GCF_001506545.1	Campylobacter jejuni
GCF_001506565.1	Campylobacter jejuni
GCF_001506585.1	Campylobacter jejuni
GCF_001506605.1	Campylobacter jejuni
GCF_001506625.1	Campylobacter jejuni
GCF_001506645.1	Campylobacter jejuni
GCF_001506665.1	Campylobacter jejuni
GCF_001506685.1	Campylobacter jejuni
GCF_001506705.1	Campylobacter jejuni
GCF_001506725.1	Campylobacter jejuni
GCF_001506745.1	Campylobacter jejuni
GCF_001506765.1	Campylobacter jejuni
GCF_001506785.1	Campylobacter jejuni
