Considering the following 400 assemblies for download:
GCF_000215745.1	Klebsiella aerogenes KCTC 2190
GCF_000334515.1	Klebsiella aerogenes EA1509E
GCF_001021995.1	Klebsiella aerogenes
GCF_001559215.2	Klebsiella aerogenes
GCF_001571545.2	Klebsiella aerogenes
GCF_001593585.2	Klebsiella aerogenes
GCF_002591115.1	Klebsiella aerogenes
GCF_002796405.1	Klebsiella aerogenes
GCF_002796425.1	Klebsiella aerogenes
GCF_002796525.1	Klebsiella aerogenes
GCF_002948835.2	Klebsiella aerogenes
GCF_003071285.1	Klebsiella aerogenes
GCF_003546885.1	Klebsiella aerogenes
GCF_003812185.1	Klebsiella aerogenes
GCF_900635995.1	Klebsiella aerogenes
GCF_900636135.1	Klebsiella aerogenes
GCF_900636185.1	Klebsiella aerogenes
GCF_900636455.1	Klebsiella aerogenes
GCF_900637945.1	Klebsiella aerogenes
GCF_000714655.1	Klebsiella oxytoca KONIH1
GCF_001022115.1	Klebsiella oxytoca
GCF_001022195.1	Klebsiella oxytoca
GCF_001022295.1	Klebsiella oxytoca
GCF_001548355.1	Klebsiella oxytoca
GCF_001870185.1	Klebsiella oxytoca
GCF_001970835.1	Klebsiella oxytoca
GCF_002072655.1	Klebsiella oxytoca
GCF_002906395.1	Klebsiella oxytoca
GCF_002906415.1	Klebsiella oxytoca
GCF_002906435.1	Klebsiella oxytoca
GCF_002947505.1	Klebsiella oxytoca
GCF_002984395.1	Klebsiella oxytoca
GCF_003073975.1	Klebsiella oxytoca
GCF_003812925.1	Klebsiella oxytoca
GCF_900635105.1	Klebsiella oxytoca
GCF_900636985.1	Klebsiella oxytoca
GCF_000009885.1	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044
GCF_000016305.1	Klebsiella pneumoniae subsp. pneumoniae MGH 78578
GCF_000220485.1	Klebsiella pneumoniae KCTC 2242
GCF_000240185.1	Klebsiella pneumoniae subsp. pneumoniae HS11286
GCF_000281435.2	Klebsiella pneumoniae subsp. pneumoniae KPNIH10
GCF_000281535.2	Klebsiella pneumoniae subsp. pneumoniae KPNIH1
GCF_000294365.1	Klebsiella pneumoniae subsp. pneumoniae 1084
GCF_000364385.3	Klebsiella pneumoniae
