Considering the following 242 assemblies for download:
GCF_000007865.1	Mycobacterium avium subsp. paratuberculosis K-10
GCF_000014985.1	Mycobacterium avium 104
GCF_000390085.1	Mycobacterium avium subsp. paratuberculosis MAP4
GCF_000829075.1	Mycobacterium avium subsp. hominissuis TH135
GCF_000835225.1	Mycobacterium avium subsp. paratuberculosis
GCF_000835265.1	Mycobacterium avium subsp. paratuberculosis
GCF_001653355.1	Mycobacterium avium subsp. paratuberculosis
GCF_001683455.1	Mycobacterium avium
GCF_001865635.2	Mycobacterium avium subsp. hominissuis
GCF_001936215.1	Mycobacterium avium subsp. hominissuis
GCF_002208705.2	Mycobacterium avium subsp. paratuberculosis
GCF_002716905.1	Mycobacterium avium subsp. hominissuis
GCF_002716925.1	Mycobacterium avium subsp. hominissuis
GCF_002716965.1	Mycobacterium avium subsp. hominissuis
GCF_003408535.1	Mycobacterium avium subsp. hominissuis
GCF_003640565.1	Mycobacterium avium
GCF_003713025.1	Mycobacterium avium subsp. paratuberculosis
GCF_003713045.1	Mycobacterium avium subsp. paratuberculosis
GCF_003815795.1	Mycobacterium avium subsp. paratuberculosis
GCF_003815815.1	Mycobacterium avium subsp. paratuberculosis
GCF_003816035.1	Mycobacterium avium subsp. paratuberculosis
GCF_003957335.1	Mycobacterium avium subsp. paratuberculosis
GCF_000277125.1	Mycobacterium intracellulare ATCC 13950
GCF_000277145.1	Mycobacterium intracellulare MOTT-02
GCF_000298095.1	Mycobacterium intracellulare subsp. intracellulare MTCC 9506
GCF_000418535.1	Mycobacterium intracellulare subsp. yongonense 05-1390
GCF_002148175.1	Mycobacterium intracellulare subsp. yongonense
GCF_002148195.1	Mycobacterium intracellulare subsp. yongonense
GCF_002285675.1	Mycobacterium intracellulare
GCF_002285695.1	Mycobacterium intracellulare
GCF_000157895.3	Mycobacterium kansasii ATCC 12478
GCF_000026685.1	Mycobacterium leprae Br4923
GCF_000195855.1	Mycobacterium leprae TN
GCF_003253775.1	Mycobacterium leprae
