Considering the following 462 assemblies for download:
GCF_000017005.1	Streptococcus gordonii str. Challis substr. CH1
GCF_000970665.2	Streptococcus gordonii
GCF_001281105.1	Streptococcus gordonii
GCF_002073435.2	Streptococcus gordonii
GCF_002386285.1	Streptococcus gordonii
GCF_900475015.1	Streptococcus gordonii
GCF_900475385.1	Streptococcus gordonii
GCF_900636555.1	Streptococcus gordonii
GCF_000253155.1	Streptococcus oralis Uo5
GCF_001983955.1	Streptococcus oralis
GCF_002356415.1	Streptococcus oralis subsp. tigurinus
GCF_002386345.1	Streptococcus oralis
GCF_900637025.1	Streptococcus oralis ATCC 35037
GCF_000253315.1	Streptococcus salivarius JIM8777
GCF_000253335.1	Streptococcus salivarius CCHSS3
GCF_000448685.2	Streptococcus salivarius
GCF_000785515.1	Streptococcus salivarius
GCF_001543085.1	Streptococcus salivarius
GCF_002073835.2	Streptococcus salivarius
GCF_002094955.1	Streptococcus salivarius
GCF_002094975.1	Streptococcus salivarius
GCF_900475225.1	Streptococcus salivarius
GCF_900636435.1	Streptococcus salivarius
GCF_000014205.1	Streptococcus sanguinis SK36
GCF_900475045.1	Streptococcus sanguinis
GCF_900475275.1	Streptococcus sanguinis
GCF_900475505.1	Streptococcus sanguinis
GCF_900635155.1	Streptococcus sanguinis
GCF_000018185.1	Streptococcus suis GZ1
GCF_000026725.1	Streptococcus suis SC84
GCF_000026745.1	Streptococcus suis BM407
GCF_000091905.1	Streptococcus suis P1/7
GCF_000168355.3	Streptococcus suis 05HAS68
GCF_000186405.1	Streptococcus suis JS14
GCF_000204625.1	Streptococcus suis ST3
GCF_000231865.1	Streptococcus suis SS12
GCF_000231885.1	Streptococcus suis D9
GCF_000231905.1	Streptococcus suis D12
GCF_000231925.1	Streptococcus suis ST1
GCF_000233575.1	Streptococcus suis A7
GCF_000294495.1	Streptococcus suis S735
GCF_000344765.1	Streptococcus suis SC070731
GCF_000390245.1	Streptococcus suis TL13
GCF_000471985.1	Streptococcus suis YB51
GCF_000494895.1	Streptococcus suis T15
GCF_000732355.1	Streptococcus suis 6407
GCF_000993745.1	Streptococcus suis
GCF_001272635.1	Streptococcus suis
GCF_001572685.1	Streptococcus suis
GCF_001610935.1	Streptococcus suis
GCF_001640765.1	Streptococcus suis
GCF_001721625.1	Streptococcus suis
GCF_001936415.1	Streptococcus suis
GCF_002111405.1	Streptococcus suis
GCF_002189695.1	Streptococcus suis
GCF_002688665.1	Streptococcus suis
GCF_002736265.1	Streptococcus suis
GCF_002803825.1	Streptococcus suis
GCF_002812525.1	Streptococcus suis
GCF_002831545.1	Streptococcus suis
GCF_003144175.1	Streptococcus suis
GCF_003285225.1	Streptococcus suis
GCF_003285245.1	Streptococcus suis
GCF_003288175.1	Streptococcus suis
GCF_003352205.1	Streptococcus suis
GCF_003352225.1	Streptococcus suis
GCF_900475585.1	Streptococcus suis
GCF_000011825.1	Streptococcus thermophilus LMG 18311
GCF_000011845.1	Streptococcus thermophilus CNRZ1066
GCF_000014485.1	Streptococcus thermophilus LMD-9
GCF_000182875.1	Streptococcus thermophilus ND03
GCF_000253395.1	Streptococcus thermophilus JIM 8232
GCF_000262675.1	Streptococcus thermophilus MN-ZLW-002
GCF_000698885.1	Streptococcus thermophilus ASCC 1275
GCF_000971665.1	Streptococcus thermophilus
GCF_001008015.1	Streptococcus thermophilus
GCF_001280285.1	Streptococcus thermophilus
GCF_001514435.1	Streptococcus thermophilus
GCF_001663795.1	Streptococcus thermophilus
GCF_001685375.1	Streptococcus thermophilus
