,Accession Number,Average Operon Size,File Name,Max Operon Size,Min Operon Size,Number of Operons,Organism,Species
0,GCF_000495455.2,5188.333333333333,GCF_000495455.2_ASM49545v2_genomic.gbff.gz,5193,5173,6,Pseudomonas putida S12,Pseudomonas putida
1,GCF_003851165.1,5210.2,GCF_003851165.1_ASM385116v1_genomic.gbff.gz,5391,5165,5,Pseudomonas chlororaphis subsp. aurantiaca,Pseudomonas chlororaphis
2,GCF_002021815.1,5098.4,GCF_002021815.1_ASM202181v1_genomic.gbff.gz,5192,4958,5,Pseudomonas parafulva,Pseudomonas parafulva
3,GCF_000344355.2,5282.6,GCF_000344355.2_ASM34435v2_genomic.gbff.gz,5461,5238,5,Pseudomonas syringae pv. actinidiae ICMP 18708,Pseudomonas syringae
4,GCF_900235865.1,5287.2,GCF_900235865.1_CFBP2118_genomic.gbff.gz,5463,5239,5,Pseudomonas syringae pv. syringae,Pseudomonas syringae
5,GCF_003290365.1,5202.666666666667,GCF_003290365.1_ASM329036v1_genomic.gbff.gz,5347,5131,6,Pseudomonas putida,Pseudomonas putida
6,GCF_001516205.2,5157.25,GCF_001516205.2_ASM151620v2_genomic.gbff.gz,5158,5157,4,Pseudomonas aeruginosa,Pseudomonas aeruginosa
7,GCF_003850345.1,5210.2,GCF_003850345.1_ASM385034v1_genomic.gbff.gz,5391,5165,5,Pseudomonas chlororaphis subsp. piscium,Pseudomonas chlororaphis
8,GCF_003612935.1,5273.8,GCF_003612935.1_ASM361293v1_genomic.gbff.gz,5453,5229,5,Pseudomonas fluorescens,Pseudomonas fluorescens
9,GCF_003850365.1,5210.2,GCF_003850365.1_ASM385036v1_genomic.gbff.gz,5391,5165,5,Pseudomonas chlororaphis subsp. piscium,Pseudomonas chlororaphis
10,GCF_003047145.2,5187.0,GCF_003047145.2_ASM304714v2_genomic.gbff.gz,5204,5181,4,Pseudomonas stutzeri,Pseudomonas stutzeri
11,GCF_000267545.1,5205.25,GCF_000267545.1_ASM26754v1_genomic.gbff.gz,5206,5205,4,Pseudomonas stutzeri CCUG 29243,Pseudomonas stutzeri
12,GCF_002192475.1,5156.75,GCF_002192475.1_ASM219247v1_genomic.gbff.gz,5157,5156,4,Pseudomonas aeruginosa,Pseudomonas aeruginosa
13,GCF_900149285.1,5156.75,GCF_900149285.1_PcyII-10_genomic.gbff.gz,5157,5156,4,Pseudomonas aeruginosa,Pseudomonas aeruginosa
14,GCF_003851365.1,5261.4,GCF_003851365.1_ASM385136v1_genomic.gbff.gz,5617,5165,5,Pseudomonas chlororaphis subsp. aureofaciens,Pseudomonas chlororaphis
15,GCF_001045685.1,5157.0,GCF_001045685.1_ASM104568v1_genomic.gbff.gz,5157,5157,4,Pseudomonas aeruginosa DSM 50071 = NBRC 12689,Pseudomonas aeruginosa
16,GCF_000007565.2,5105.4,GCF_000007565.2_ASM756v2_genomic.gbff.gz,5245,4955,5,Pseudomonas putida KT2440,Pseudomonas putida
17,GCF_001792855.1,5157.5,GCF_001792855.1_ASM179285v1_genomic.gbff.gz,5158,5157,4,Pseudomonas aeruginosa,Pseudomonas aeruginosa
18,GCF_003798125.1,5157.25,GCF_003798125.1_ASM379812v1_genomic.gbff.gz,5158,5157,4,Pseudomonas aeruginosa,Pseudomonas aeruginosa
19,GCF_001023535.1,5240.4,GCF_001023535.1_ASM102353v1_genomic.gbff.gz,5417,5178,5,Pseudomonas chlororaphis,Pseudomonas chlororaphis
20,GCF_000262325.2,5254.166666666667,GCF_000262325.2_ASM26232v2_genomic.gbff.gz,5437,5212,6,Pseudomonas fluorescens A506,Pseudomonas fluorescens
21,GCF_003008495.1,5180.0,GCF_003008495.1_ASM300849v1_genomic.gbff.gz,5180,5180,4,Pseudomonas stutzeri,Pseudomonas stutzeri
22,GCF_000183645.1,5119.0,GCF_000183645.1_ASM18364v1_genomic.gbff.gz,5260,4968,5,Pseudomonas putida BIRD-1,Pseudomonas putida
23,GCF_000733715.2,5196.0,GCF_000733715.2_ASM73371v2_genomic.gbff.gz,5196,5196,4,Pseudomonas mendocina S5.2,Pseudomonas mendocina
24,GCF_001721825.1,5157.25,GCF_001721825.1_ASM172182v1_genomic.gbff.gz,5158,5156,4,Pseudomonas aeruginosa,Pseudomonas aeruginosa
25,GCF_001542835.1,5157.25,GCF_001542835.1_ASM154283v1_genomic.gbff.gz,5158,5156,4,Pseudomonas aeruginosa,Pseudomonas aeruginosa
26,GCF_001618925.1,5157.5,GCF_001618925.1_ASM161892v1_genomic.gbff.gz,5158,5157,4,Pseudomonas aeruginosa,Pseudomonas aeruginosa
27,GCF_000016565.1,5216.75,GCF_000016565.1_ASM1656v1_genomic.gbff.gz,5217,5216,4,Pseudomonas mendocina ymp,Pseudomonas mendocina
28,GCF_003850485.1,5213.2,GCF_003850485.1_ASM385048v1_genomic.gbff.gz,5391,5166,5,Pseudomonas chlororaphis subsp. piscium,Pseudomonas chlororaphis
29,GCF_002844145.1,5213.8,GCF_002844145.1_ASM284414v1_genomic.gbff.gz,5401,5133,5,Pseudomonas chlororaphis,Pseudomonas chlororaphis
30,GCF_001708465.1,5215.0,GCF_001708465.1_ASM170846v1_genomic.gbff.gz,5215,5215,1,Pseudomonas fluorescens,Pseudomonas fluorescens
31,GCF_001516245.2,5156.25,GCF_001516245.2_ASM151624v2_genomic.gbff.gz,5157,5156,4,Pseudomonas aeruginosa,Pseudomonas aeruginosa
32,GCF_001721765.1,5157.25,GCF_001721765.1_ASM172176v1_genomic.gbff.gz,5158,5156,4,Pseudomonas aeruginosa,Pseudomonas aeruginosa
33,GCF_900235835.1,5286.6,GCF_900235835.1_CFBP3846_genomic.gbff.gz,5465,5242,5,Pseudomonas syringae pv. avii,Pseudomonas syringae
34,GCF_000271965.2,5185.333333333333,GCF_000271965.2_ASM27196v2_genomic.gbff.gz,5194,5181,6,Pseudomonas putida SJTE-1,Pseudomonas putida
35,GCF_900095805.1,5157.5,GCF_900095805.1_PA14Or_genomic.gbff.gz,5158,5157,4,Pseudomonas aeruginosa,Pseudomonas aeruginosa
36,GCF_002006545.1,5241.8,GCF_002006545.1_ASM200654v1_genomic.gbff.gz,5418,5197,5,Pseudomonas protegens,Pseudomonas protegens
37,GCF_002104595.1,5156.5,GCF_002104595.1_ASM210459v1_genomic.gbff.gz,5157,5156,4,Pseudomonas aeruginosa,Pseudomonas aeruginosa
38,GCF_001722045.1,5157.0,GCF_001722045.1_ASM172204v1_genomic.gbff.gz,5158,5155,4,Pseudomonas aeruginosa,Pseudomonas aeruginosa
39,GCF_001281365.1,5278.8,GCF_001281365.1_ASM128136v1_genomic.gbff.gz,5457,5234,5,Pseudomonas syringae UMAF0158,Pseudomonas syringae
40,GCF_002025705.1,5066.2,GCF_002025705.1_ASM202570v1_genomic.gbff.gz,5211,4973,5,Pseudomonas putida,Pseudomonas putida
41,GCF_003851205.1,5210.2,GCF_003851205.1_ASM385120v1_genomic.gbff.gz,5391,5165,5,Pseudomonas chlororaphis subsp. aurantiaca,Pseudomonas chlororaphis
