,Organism (NCBI),Accession Number,File Name,Species (GTDB),Longest 16S,Consensus 16S,Copies 16S,Longest 23S,Consensus 23S,Copies 23S,Longest 5S,Consensus 5S,Copies 5S
385,Enterococcus faecalis ARO1/DG,GCF_002814115.1,GCF_002814115.1_ASM281411v1_genomic.gbff.gz,Enterococcus faecalis,1565,1566,4,2913,2915,4,116,116,4
265,Enterococcus faecalis ATCC 29212,GCF_000742975.1,GCF_000742975.1_ASM74297v1_genomic.gbff.gz,Enterococcus faecalis,1566,1566,4,2915,2916,4,116,116,4
597,Enterococcus faecalis D32,GCF_000281195.1,GCF_000281195.1_ASM28119v1_genomic.gbff.gz,Enterococcus faecalis,1566,1566,4,2915,2915,4,116,116,4
211,Enterococcus faecalis DENG1,GCF_000550745.1,GCF_000550745.1_ASM55074v1_genomic.gbff.gz,Enterococcus faecalis,1566,1567,4,2916,2917,4,116,116,4
612,Enterococcus faecalis,GCF_001598635.1,GCF_001598635.1_ASM159863v1_genomic.gbff.gz,Enterococcus faecalis,1566,1566,4,2914,2915,4,116,116,4
290,Enterococcus faecalis,GCF_001689055.2,GCF_001689055.2_ASM168905v2_genomic.gbff.gz,Enterococcus faecalis,1566,1566,4,2915,2915,4,116,116,4
401,Enterococcus faecalis,GCF_001878735.1,GCF_001878735.1_ASM187873v1_genomic.gbff.gz,Enterococcus faecalis,1566,1566,4,2915,2916,4,116,116,4
347,Enterococcus faecalis,GCF_001886675.1,GCF_001886675.1_ASM188667v1_genomic.gbff.gz,Enterococcus faecalis,1566,1566,4,2915,2916,4,116,116,4
414,Enterococcus faecalis,GCF_001989555.1,GCF_001989555.1_ASM198955v1_genomic.gbff.gz,Enterococcus faecalis,1566,1566,4,2915,2915,4,116,116,4
322,Enterococcus faecalis,GCF_002163735.1,GCF_002163735.1_ASM216373v1_genomic.gbff.gz,Enterococcus faecalis,1566,1566,4,2915,2915,4,116,116,4
143,Enterococcus faecalis,GCF_002208945.1,GCF_002208945.1_ASM220894v2_genomic.gbff.gz,Enterococcus faecalis,1566,1566,4,2915,2915,4,116,116,4
25,Enterococcus faecalis,GCF_002289045.2,GCF_002289045.2_ASM228904v2_genomic.gbff.gz,Enterococcus faecalis,1566,1566,4,2914,2915,4,116,116,4
394,Enterococcus faecalis,GCF_002355755.1,GCF_002355755.1_ASM235575v1_genomic.gbff.gz,Enterococcus faecalis,1566,1566,4,2914,2915,4,116,116,4
271,Enterococcus faecalis,GCF_003030425.1,GCF_003030425.1_ASM303042v1_genomic.gbff.gz,Enterococcus faecalis,1566,1566,4,2914,2915,4,116,116,4
613,Enterococcus faecalis OG1RF,GCF_000172575.2,GCF_000172575.2_ASM17257v2_genomic.gbff.gz,Enterococcus faecalis,1564,1566,4,2915,2915,4,116,116,4
632,Enterococcus faecalis str. Symbioflor 1,GCF_000317915.1,GCF_000317915.1_ASM31791v1_genomic.gbff.gz,Enterococcus faecalis,1566,1566,4,2914,2915,4,116,116,4
604,Enterococcus faecalis V583,GCF_000007785.1,GCF_000007785.1_ASM778v1_genomic.gbff.gz,Enterococcus faecalis,1522,1522,4,2909,2909,4,116,116,4
621,Enterococcus faecium Aus0004,GCF_000250945.1,GCF_000250945.1_ASM25094v1_genomic.gbff.gz,Enterococcus_B faecium,1569,1570,6,2916,2917,6,116,117,6
422,Enterococcus faecium Aus0085,GCF_000444405.1,GCF_000444405.1_ASM44440v1_genomic.gbff.gz,Enterococcus_B faecium,1569,1570,6,2913,2919,6,116,116,6
176,Enterococcus faecium DO,GCF_000174395.2,GCF_000174395.2_ASM17439v2_genomic.gbff.gz,Enterococcus_B faecium,1546,1549,6,2912,2914,6,115,115,6
486,Enterococcus faecium,GCF_001518735.1,GCF_001518735.1_ASM151873v1_genomic.gbff.gz,Enterococcus_B faecium,1565,1571,6,2917,2917,6,116,116,6
469,Enterococcus faecium,GCF_001587115.1,GCF_001587115.1_ASM158711v1_genomic.gbff.gz,Enterococcus_B faecium,1569,1570,6,2917,2917,6,116,116,6
568,Enterococcus faecium,GCF_001635875.1,GCF_001635875.1_ASM163587v1_genomic.gbff.gz,Enterococcus_B faecium,1569,1570,6,2917,2917,6,116,116,6
168,Enterococcus faecium,GCF_001720945.1,GCF_001720945.1_ASM172094v1_genomic.gbff.gz,Enterococcus_B faecium,1568,1570,6,2916,2917,6,116,116,6
516,Enterococcus faecium,GCF_001721065.1,GCF_001721065.1_ASM172106v1_genomic.gbff.gz,Enterococcus_B faecium,1567,1570,6,2916,2917,6,116,116,6
205,Enterococcus faecium,GCF_001721905.1,GCF_001721905.1_ASM172190v1_genomic.gbff.gz,Enterococcus_B faecium,1233,1570,6,2913,2917,6,116,116,6
654,Enterococcus faecium,GCF_001750885.1,GCF_001750885.1_ASM175088v1_genomic.gbff.gz,Enterococcus_B faecium,1569,1570,6,2917,2917,6,116,116,6
