,Organism (NCBI),Accession Number,File Name,Species (GTDB),Number of Operons,Average Operon Size,Min Operon Size,Max Operon Size
0,Staphylococcus aureus O46,GCF_000189455.2,GCF_000189455.2_ASM18945v3_genomic.gbff.gz,Staphylococcus aureus,4,5074.5,5024,5164
1,Staphylococcus aureus subsp. aureus SA40,GCF_000470865.1,GCF_000470865.1_ASM47086v1_genomic.gbff.gz,Staphylococcus aureus,5,5261.6,5028,6008
2,Staphylococcus aureus subsp. aureus,GCF_000769575.1,GCF_000769575.1_ASM76957v1_genomic.gbff.gz,Staphylococcus aureus,5,5316.0,5029,5979
3,Staphylococcus aureus,GCF_000969225.1,GCF_000969225.1_ASM96922v1_genomic.gbff.gz,Staphylococcus aureus,5,5161.6,4967,5940
4,Staphylococcus aureus,GCF_001019535.2,GCF_001019535.2_ASM101953v2_genomic.gbff.gz,Staphylococcus aureus,4,5125.25,4966,5234
5,Staphylococcus aureus subsp. aureus,GCF_001549675.1,GCF_001549675.1_ASM154967v1_genomic.gbff.gz,Staphylococcus aureus,5,5388.8,5106,6185
6,Staphylococcus aureus,GCF_001611385.1,GCF_001611385.1_ASM161138v1_genomic.gbff.gz,Staphylococcus aureus,4,5054.75,5027,5131
7,Staphylococcus aureus,GCF_001640885.1,GCF_001640885.1_ASM164088v1_genomic.gbff.gz,Staphylococcus aureus,5,5281.8,5029,5974
8,Staphylococcus aureus,GCF_001641025.1,GCF_001641025.1_ASM164102v1_genomic.gbff.gz,Staphylococcus aureus,5,5313.0,5029,5976
9,Staphylococcus aureus subsp. aureus,GCF_001717645.1,GCF_001717645.1_ASM171764v3_genomic.gbff.gz,Staphylococcus aureus,4,5024.25,4966,5137
10,Staphylococcus aureus,GCF_001879545.1,GCF_001879545.1_ASM187954v1_genomic.gbff.gz,Staphylococcus aureus,4,5120.5,4967,5216
11,Staphylococcus aureus subsp. aureus,GCF_001887075.1,GCF_001887075.1_ASM188707v1_genomic.gbff.gz,Staphylococcus aureus,4,5129.25,5014,5216
12,Staphylococcus aureus,GCF_002097595.2,GCF_002097595.2_ASM209759v2_genomic.gbff.gz,Staphylococcus aureus,4,5111.5,5012,5210
13,Staphylococcus aureus,GCF_002202095.1,GCF_002202095.1_ASM220209v1_genomic.gbff.gz,Staphylococcus aureus,4,5102.0,5030,5151
14,Staphylococcus aureus,GCF_002355355.1,GCF_002355355.1_ASM235535v1_genomic.gbff.gz,Staphylococcus aureus,4,5117.25,5029,5211
15,Staphylococcus aureus,GCF_002633785.1,GCF_002633785.1_ASM263378v1_genomic.gbff.gz,Staphylococcus aureus,4,5090.25,5030,5138
16,Staphylococcus aureus,GCF_900004855.1,GCF_900004855.1_BB155_genomic.gbff.gz,Staphylococcus aureus,5,5290.6,5088,6065
17,Staphylococcus aureus,GCF_900474535.1,GCF_900474535.1_40853_C01_genomic.gbff.gz,Staphylococcus aureus,4,5113.5,5028,5215
18,Staphylococcus aureus,GCF_900474695.1,GCF_900474695.1_41004_B01_genomic.gbff.gz,Staphylococcus aureus,4,5090.0,5028,5215
19,Staphylococcus aureus,GCF_900478245.1,GCF_900478245.1_35910_A02_genomic.gbff.gz,Staphylococcus aureus,5,5291.0,5030,6096
20,Staphylococcus carnosus subsp. carnosus TM300,GCF_000009405.1,GCF_000009405.1_ASM940v1_genomic.gbff.gz,Staphylococcus carnosus,4,5220.25,4906,5883
21,Staphylococcus carnosus,GCF_001701005.1,GCF_001701005.1_ASM170100v1_genomic.gbff.gz,Staphylococcus carnosus,3,4970.0,4908,5094
22,Staphylococcus epidermidis ATCC 12228,GCF_000007645.1,GCF_000007645.1_ASM764v1_genomic.gbff.gz,Staphylococcus epidermidis,5,5168.2,4919,5965
23,Staphylococcus epidermidis RP62A,GCF_000011925.1,GCF_000011925.1_ASM1192v1_genomic.gbff.gz,Staphylococcus epidermidis,4,4970.0,4922,5111
24,Staphylococcus epidermidis PM221,GCF_000751035.1,GCF_000751035.1_PM221_genomic.gbff.gz,Staphylococcus epidermidis,4,4971.0,4922,5111
25,Staphylococcus epidermidis,GCF_000759555.1,GCF_000759555.1_ASM75955v1_genomic.gbff.gz,Staphylococcus epidermidis,4,4969.25,4921,5110
26,Staphylococcus epidermidis,GCF_002085695.1,GCF_002085695.1_ASM208569v1_genomic.gbff.gz,Staphylococcus epidermidis,4,4970.25,4922,5112
27,Staphylococcus epidermidis,GCF_002215535.1,GCF_002215535.1_ASM221553v1_genomic.gbff.gz,Staphylococcus epidermidis,4,4970.0,4922,5113
28,Staphylococcus epidermidis,GCF_002850315.1,GCF_002850315.1_ASM285031v1_genomic.gbff.gz,Staphylococcus epidermidis,4,4969.0,4921,5110
29,Staphylococcus epidermidis,GCF_002944995.1,GCF_002944995.1_ASM294499v1_genomic.gbff.gz,Staphylococcus epidermidis,4,4969.0,4921,5110
