,Accession Number,Consensus 16S,Consensus 23S,Consensus 5S,Copies 16S,Copies 23S,Copies 5S,File Name,Longest 16S,Longest 23S,Longest 5S,Organism,Species
0,GCF_002736045.1,1547,2917,116,7,7,8,GCF_002736045.1_ASM273604v1_genomic.gbff.gz,1547,2916,116,Pseudomonas putida,Pseudomonas putida
1,GCF_003589865.1,1554,3109,116,7,7,8,GCF_003589865.1_ASM358986v1_genomic.gbff.gz,1552,2929,116,Salmonella enterica subsp. enterica serovar Dublin,Salmonella enterica
2,GCF_003180975.1,1554,2933,116,7,7,8,GCF_003180975.1_ASM318097v1_genomic.gbff.gz,1554,2930,116,Escherichia coli,Escherichia coli
3,GCF_001516165.2,1544,2912,116,4,4,4,GCF_001516165.2_ASM151616v2_genomic.gbff.gz,1544,2911,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
4,GCF_001697305.1,1551,2898,114,4,4,4,GCF_001697305.1_ASM169730v1_genomic.gbff.gz,1551,2898,114,Neisseria meningitidis,Neisseria meningitidis
5,GCF_001661115.1,1551,2898,114,4,4,4,GCF_001661115.1_ASM166111v1_genomic.gbff.gz,1551,2898,114,Neisseria gonorrhoeae,Neisseria gonorrhoeae
6,GCF_003429525.1,1514,2968,117,2,2,1,GCF_003429525.1_ASM342952v1_genomic.gbff.gz,1514,2968,117,Leptospira mayottensis,Leptospira mayottensis
7,GCF_001697525.1,1551,2898,114,4,4,4,GCF_001697525.1_ASM169752v1_genomic.gbff.gz,1551,2898,114,Neisseria meningitidis,Neisseria meningitidis
8,GCF_002870165.1,1554,2932,116,7,7,8,GCF_002870165.1_ASM287016v1_genomic.gbff.gz,1554,2931,116,Escherichia coli,Escherichia coli
9,GCF_003671955.1,1538,2917,116,8,8,9,GCF_003671955.1_ASM367195v1_genomic.gbff.gz,1538,2917,116,Pseudomonas putida,Pseudomonas putida
10,GCF_001975365.1,1556,3028,116,7,7,8,GCF_001975365.1_ASM197536v1_genomic.gbff.gz,1554,2925,116,Salmonella enterica subsp. enterica serovar Djakarta str. S-1087,Salmonella enterica
11,GCF_003071485.1,1554,3035,116,7,7,8,GCF_003071485.1_ASM307148v1_genomic.gbff.gz,1552,2925,116,Salmonella enterica subsp. enterica serovar Montevideo str. CDC 2010K-0257,Salmonella enterica
12,GCF_003355215.1,1548,2898,114,4,4,4,GCF_003355215.1_ASM335521v1_genomic.gbff.gz,1548,2898,114,Neisseria meningitidis,Neisseria meningitidis
13,GCF_000599645.1,1567,5180,116,10,11,10,GCF_000599645.1_ASM59964v1_genomic.gbff.gz,1554,2070,115,Escherichia coli,Escherichia coli
14,GCF_000148895.1,1511,2891,118,2,2,2,GCF_000148895.1_ASM14889v1_genomic.gbff.gz,1511,2891,118,Helicobacter pylori Cuz20,Helicobacter pylori
15,GCF_001516205.2,1544,2912,116,4,4,4,GCF_001516205.2_ASM151620v2_genomic.gbff.gz,1544,2912,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
16,GCF_001548135.1,1544,2912,116,4,4,4,GCF_001548135.1_ASM154813v1_genomic.gbff.gz,1544,2911,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
17,GCF_003324955.1,1554,3028,116,7,7,8,GCF_003324955.1_ASM332495v1_genomic.gbff.gz,1551,2929,116,Salmonella enterica,Salmonella enterica
18,GCF_000245535.1,1556,3027,116,7,7,8,GCF_000245535.1_ASM24553v1_genomic.gbff.gz,1556,3027,116,Salmonella enterica subsp. enterica serovar Typhi str. P-stx-12,Salmonella enterica
19,GCF_003717675.1,1553,3027,116,7,7,7,GCF_003717675.1_ASM371767v1_genomic.gbff.gz,1553,3027,116,Salmonella enterica subsp. enterica serovar Typhi,Salmonella enterica
20,GCF_003228315.1,1538,2916,116,6,6,7,GCF_003228315.1_ASM322831v1_genomic.gbff.gz,1538,2916,116,Pseudomonas putida,Pseudomonas putida
21,GCF_900477885.1,1554,3033,116,7,7,8,GCF_900477885.1_46801_F01_genomic.gbff.gz,1552,2926,116,Salmonella enterica subsp. enterica serovar Aberdeen,Salmonella enterica
22,GCF_001697485.1,1551,2898,114,4,4,4,GCF_001697485.1_ASM169748v1_genomic.gbff.gz,1551,2898,114,Neisseria meningitidis,Neisseria meningitidis
23,GCF_003369755.1,1537,2912,116,4,4,4,GCF_003369755.1_ASM336975v1_genomic.gbff.gz,1537,2912,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
24,GCF_000178935.2,1511,2889,118,2,2,2,GCF_000178935.2_ASM17893v2_genomic.gbff.gz,1511,2889,118,Helicobacter pylori 35A,Helicobacter pylori
25,GCF_003410295.1,1538,2916,116,6,6,7,GCF_003410295.1_ASM341029v1_genomic.gbff.gz,1537,2916,116,Pseudomonas parafulva,Pseudomonas parafulva
26,GCF_000191505.1,1552,2898,114,4,4,4,GCF_000191505.1_ASM19150v1_genomic.gbff.gz,1551,2898,114,Neisseria meningitidis M04-240196,Neisseria meningitidis
27,GCF_001900265.1,1544,2912,116,4,4,4,GCF_001900265.1_ASM190026v1_genomic.gbff.gz,1544,2512,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
28,GCF_001697425.1,1551,2898,114,4,4,4,GCF_001697425.1_ASM169742v1_genomic.gbff.gz,1551,2898,114,Neisseria meningitidis,Neisseria meningitidis
29,GCF_002905815.2,1540,2918,116,5,5,5,GCF_002905815.2_ASM290581v2_genomic.gbff.gz,1540,2918,116,Pseudomonas syringae pv. syringae,Pseudomonas syringae
30,GCF_001654515.1,1547,2916,116,6,6,7,GCF_001654515.1_ASM165451v1_genomic.gbff.gz,1547,2916,116,Pseudomonas koreensis,Pseudomonas koreensis
31,GCF_001121865.2,1564,3038,116,7,7,8,GCF_001121865.2_404Ty_genomic.gbff.gz,1556,3022,116,Salmonella enterica subsp. enterica serovar Typhi,Salmonella enterica
32,GCF_002786655.1,1554,2933,116,7,7,8,GCF_002786655.1_ASM278665v1_genomic.gbff.gz,1553,2930,116,Escherichia coli,Escherichia coli
33,GCF_002812545.1,1554,2933,116,7,7,8,GCF_002812545.1_ASM281254v1_genomic.gbff.gz,1554,2925,116,Escherichia coli,Escherichia coli
34,GCF_003851495.1,1538,2916,116,6,6,7,GCF_003851495.1_ASM385149v1_genomic.gbff.gz,1538,2916,116,Pseudomonas synxantha,Pseudomonas synxantha
35,GCF_001566615.1,1556,2925,116,7,7,8,GCF_001566615.1_ASM156661v1_genomic.gbff.gz,1556,2924,116,Escherichia coli,Escherichia coli
36,GCF_000327065.1,1546,2915,116,4,4,4,GCF_000327065.1_ASM32706v1_genomic.gbff.gz,1545,2914,116,Pseudomonas stutzeri RCH2,Pseudomonas stutzeri
37,GCF_000504045.1,1544,2912,116,4,4,4,GCF_000504045.1_ASM50404v1_genomic.gbff.gz,1544,2912,116,Pseudomonas aeruginosa MTB-1,Pseudomonas aeruginosa
38,GCF_900235885.1,1540,2917,116,5,5,6,GCF_900235885.1_CFBP6109_genomic.gbff.gz,1540,2917,116,Pseudomonas syringae pv. cerasicola,Pseudomonas syringae
39,GCF_002812905.1,1537,2912,116,4,4,4,GCF_002812905.1_ASM281290v1_genomic.gbff.gz,1537,2911,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
40,GCF_900638595.1,1548,2898,114,4,4,4,GCF_900638595.1_58116_H01_genomic.gbff.gz,1548,2898,114,Neisseria meningitidis,Neisseria meningitidis
41,GCF_002073675.2,1548,2898,114,4,4,4,GCF_002073675.2_ASM207367v2_genomic.gbff.gz,1548,2898,114,Neisseria meningitidis,Neisseria meningitidis
42,GCF_001047225.1,1551,2898,114,4,4,4,GCF_001047225.1_ASM104722v1_genomic.gbff.gz,1551,2898,114,Neisseria gonorrhoeae,Neisseria gonorrhoeae
43,GCF_001482325.1,1544,2912,116,4,4,4,GCF_001482325.1_ASM148232v1_genomic.gbff.gz,1544,2912,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
44,GCF_002085605.1,1544,2912,116,4,4,4,GCF_002085605.1_ASM208560v1_genomic.gbff.gz,1544,2911,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
45,GCF_002952495.1,1509,2889,118,2,2,2,GCF_002952495.1_ASM295249v1_genomic.gbff.gz,1509,2889,118,Helicobacter pylori,Helicobacter pylori
46,GCF_003851985.1,1538,2916,116,5,5,6,GCF_003851985.1_ASM385198v1_genomic.gbff.gz,1538,2916,116,Pseudomonas chlororaphis,Pseudomonas chlororaphis
47,GCF_003717955.1,1554,3027,116,7,7,9,GCF_003717955.1_ASM371795v1_genomic.gbff.gz,1554,3027,116,Salmonella enterica subsp. enterica serovar Typhi,Salmonella enterica
48,GCF_001792855.1,1544,2912,116,4,4,4,GCF_001792855.1_ASM179285v1_genomic.gbff.gz,1544,2912,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
49,GCF_000963495.1,1547,2916,116,6,6,7,GCF_000963495.1_ASM96349v1_genomic.gbff.gz,1547,2916,116,Pseudomonas fluorescens PICF7,Pseudomonas fluorescens
50,GCF_000020105.1,1551,2898,114,4,4,4,GCF_000020105.1_ASM2010v1_genomic.gbff.gz,1551,2898,114,Neisseria gonorrhoeae NCCP11945,Neisseria gonorrhoeae
51,GCF_000284635.1,1504,2889,116,2,2,2,GCF_000284635.1_ASM28463v1_genomic.gbff.gz,1504,2888,116,Helicobacter cinaedi PAGU611,Helicobacter cinaedi
52,GCF_002142695.1,1556,2933,116,7,7,8,GCF_002142695.1_ASM214269v1_genomic.gbff.gz,1554,2926,116,Escherichia coli,Escherichia coli
53,GCF_001029815.1,1551,2898,114,4,4,4,GCF_001029815.1_ASM102981v1_genomic.gbff.gz,1551,2897,114,Neisseria meningitidis,Neisseria meningitidis
54,GCF_003312545.2,1552,2926,116,7,7,8,GCF_003312545.2_ASM331254v2_genomic.gbff.gz,1552,2926,116,Escherichia albertii,Escherichia albertii
55,GCF_002741255.1,1556,2931,116,7,7,8,GCF_002741255.1_ASM274125v1_genomic.gbff.gz,1556,2928,116,Escherichia coli O114:H49,Escherichia coli
56,GCF_000014845.1,1582,2958,116,7,7,8,GCF_000014845.1_ASM1484v1_genomic.gbff.gz,1556,2925,116,Escherichia coli APEC O1,Escherichia coli
57,GCF_002215345.1,1544,2912,116,4,4,4,GCF_002215345.1_ASM221534v1_genomic.gbff.gz,1544,2912,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
58,GCF_001687285.1,1537,2912,116,4,4,4,GCF_001687285.1_ASM168728v1_genomic.gbff.gz,1537,2912,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
59,GCF_003812885.1,1537,2912,116,4,4,4,GCF_003812885.1_ASM381288v1_genomic.gbff.gz,1537,2911,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
60,GCF_000277365.1,1511,2895,118,2,2,2,GCF_000277365.1_ASM27736v1_genomic.gbff.gz,1511,2895,118,Helicobacter pylori Shi417,Helicobacter pylori
61,GCF_001974965.1,1551,2898,114,4,4,4,GCF_001974965.1_ASM197496v1_genomic.gbff.gz,1551,2898,114,Neisseria meningitidis,Neisseria meningitidis
62,GCF_002237405.1,1544,2912,116,4,4,4,GCF_002237405.1_ASM223740v1_genomic.gbff.gz,1544,2911,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
63,GCF_900120135.1,1509,2890,118,2,2,2,GCF_900120135.1_HE132_09_genomic.gbff.gz,1509,2890,118,Helicobacter pylori,Helicobacter pylori
64,GCF_003860385.1,1552,2926,116,7,7,8,GCF_003860385.1_ASM386038v1_genomic.gbff.gz,1551,2925,116,Escherichia albertii,Escherichia albertii
65,GCF_002021815.1,1547,2917,116,7,7,8,GCF_002021815.1_ASM202181v1_genomic.gbff.gz,1547,2917,116,Pseudomonas parafulva,Pseudomonas parafulva
66,GCF_900636845.1,1538,2915,116,4,4,4,GCF_900636845.1_44858_G01_genomic.gbff.gz,1538,2915,116,Pseudomonas stutzeri,Pseudomonas stutzeri
67,GCF_003850405.1,1538,2916,116,5,5,6,GCF_003850405.1_ASM385040v1_genomic.gbff.gz,1538,2916,116,Pseudomonas chlororaphis subsp. piscium,Pseudomonas chlororaphis
68,GCF_001697685.1,1551,2898,114,4,4,4,GCF_001697685.1_ASM169768v1_genomic.gbff.gz,1551,2896,114,Neisseria meningitidis,Neisseria meningitidis
69,GCF_000510305.1,1544,2912,116,4,4,4,GCF_000510305.1_ASM51030v1_genomic.gbff.gz,1544,2912,116,Pseudomonas aeruginosa SCV20265,Pseudomonas aeruginosa
70,GCF_001705055.1,1554,3066,116,7,7,8,GCF_001705055.1_ASM170505v1_genomic.gbff.gz,1552,2925,116,Salmonella enterica,Salmonella enterica
71,GCF_003312525.2,1552,2926,116,7,7,8,GCF_003312525.2_ASM331252v2_genomic.gbff.gz,1552,2925,116,Escherichia albertii,Escherichia albertii
72,GCF_003852025.1,1538,2916,116,6,6,7,GCF_003852025.1_ASM385202v1_genomic.gbff.gz,1538,2916,116,Pseudomonas synxantha,Pseudomonas synxantha
73,GCF_003206535.1,1537,2912,116,4,4,4,GCF_003206535.1_ASM320653v1_genomic.gbff.gz,1537,2911,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
74,GCF_000473745.2,1544,2912,116,8,8,11,GCF_000473745.2_ASM47374v3_genomic.gbff.gz,1544,2912,116,Pseudomonas aeruginosa VRFPA04,Pseudomonas aeruginosa
75,GCF_001549955.1,1552,2933,116,7,7,8,GCF_001549955.1_ASM154995v1_genomic.gbff.gz,1552,2835,116,Escherichia albertii,Escherichia albertii
76,GCF_001750705.1,1544,2912,116,4,4,4,GCF_001750705.1_ASM175070v1_genomic.gbff.gz,1544,2912,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
77,GCF_003956305.1,1554,2933,116,7,7,8,GCF_003956305.1_ASM395630v1_genomic.gbff.gz,1554,2929,116,Escherichia coli,Escherichia coli
78,GCF_002011965.1,1556,2925,116,7,7,8,GCF_002011965.1_ASM201196v1_genomic.gbff.gz,1556,2925,116,Escherichia coli,Escherichia coli
79,GCF_003410335.1,1538,2916,116,5,5,6,GCF_003410335.1_ASM341033v1_genomic.gbff.gz,1538,2916,116,Pseudomonas fluorescens,Pseudomonas fluorescens
80,GCF_002211925.1,1554,3026,116,7,7,8,GCF_002211925.1_ASM221192v1_genomic.gbff.gz,1554,2926,116,Salmonella bongori serovar 66:z41:- str. SA19983605,Salmonella bongori
81,GCF_000597845.1,1554,2932,116,7,8,9,GCF_000597845.1_ASM59784v1_genomic.gbff.gz,1554,2925,116,Escherichia coli,Escherichia coli
82,GCF_000800315.1,1551,2899,114,4,4,5,GCF_000800315.1_ASM80031v1_genomic.gbff.gz,1549,2873,112,Neisseria meningitidis,Neisseria meningitidis
83,GCF_001661135.1,1551,2898,114,4,4,4,GCF_001661135.1_ASM166113v1_genomic.gbff.gz,1551,2898,114,Neisseria gonorrhoeae,Neisseria gonorrhoeae
84,GCF_001698065.1,1551,2898,114,4,4,4,GCF_001698065.1_ASM169806v1_genomic.gbff.gz,1551,2898,114,Neisseria meningitidis,Neisseria meningitidis
85,GCF_900636755.1,1537,2912,116,4,4,4,GCF_900636755.1_43941_E01_genomic.gbff.gz,1537,2912,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
86,GCF_003641125.1,1537,2912,116,4,4,4,GCF_003641125.1_ASM364112v1_genomic.gbff.gz,1537,2912,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
87,GCF_003574195.1,1501,2888,116,2,2,2,GCF_003574195.1_ASM357419v1_genomic.gbff.gz,1501,2888,116,Helicobacter cinaedi,Helicobacter cinaedi
88,GCF_001023535.1,1548,2933,116,5,5,7,GCF_001023535.1_ASM102353v1_genomic.gbff.gz,1544,2904,116,Pseudomonas chlororaphis,Pseudomonas chlororaphis
