Considering the following 460 assemblies for download:
GCF_000006765.1	Pseudomonas aeruginosa PAO1
GCF_000014625.1	Pseudomonas aeruginosa UCBPP-PA14
GCF_000017205.1	Pseudomonas aeruginosa PA7
GCF_000026645.1	Pseudomonas aeruginosa LESB58
GCF_000226155.1	Pseudomonas aeruginosa M18
GCF_000271365.1	Pseudomonas aeruginosa DK2
GCF_000271985.2	Pseudomonas aeruginosa SJTD-1
GCF_000284555.1	Pseudomonas aeruginosa NCGM2.S1
GCF_000359505.1	Pseudomonas aeruginosa B136-33
GCF_000414035.1	Pseudomonas aeruginosa RP73
GCF_000473745.2	Pseudomonas aeruginosa VRFPA04
GCF_000496455.2	Pseudomonas aeruginosa DHS01
GCF_000496605.2	Pseudomonas aeruginosa PA1
GCF_000496645.1	Pseudomonas aeruginosa PA1R
GCF_000504045.1	Pseudomonas aeruginosa MTB-1
GCF_000508765.1	Pseudomonas aeruginosa LES431
GCF_000510305.1	Pseudomonas aeruginosa SCV20265
GCF_000524595.1	Pseudomonas aeruginosa YL84
GCF_000568855.2	Pseudomonas aeruginosa PAK
GCF_000816985.1	Pseudomonas aeruginosa
GCF_000829255.1	Pseudomonas aeruginosa
GCF_000829275.1	Pseudomonas aeruginosa
GCF_000829885.1	Pseudomonas aeruginosa
GCF_000981825.1	Pseudomonas aeruginosa
GCF_001045685.1	Pseudomonas aeruginosa DSM 50071 = NBRC 12689
GCF_001077475.1	Pseudomonas aeruginosa
GCF_001293085.1	Pseudomonas aeruginosa
GCF_001447845.1	Pseudomonas aeruginosa
GCF_001457615.1	Pseudomonas aeruginosa
GCF_001482325.1	Pseudomonas aeruginosa
GCF_001515845.2	Pseudomonas aeruginosa
GCF_001515915.2	Pseudomonas aeruginosa
GCF_001516005.1	Pseudomonas aeruginosa
GCF_001516105.1	Pseudomonas aeruginosa
GCF_001516165.2	Pseudomonas aeruginosa
GCF_001516185.2	Pseudomonas aeruginosa
GCF_001516205.2	Pseudomonas aeruginosa
GCF_001516225.2	Pseudomonas aeruginosa
GCF_001516245.2	Pseudomonas aeruginosa
GCF_001516265.1	Pseudomonas aeruginosa
GCF_001516305.2	Pseudomonas aeruginosa
GCF_001516325.2	Pseudomonas aeruginosa
GCF_001516345.1	Pseudomonas aeruginosa
GCF_001516365.2	Pseudomonas aeruginosa
GCF_001516385.1	Pseudomonas aeruginosa
GCF_001518975.1	Pseudomonas aeruginosa
GCF_001542795.2	Pseudomonas aeruginosa
GCF_001542835.1	Pseudomonas aeruginosa
GCF_001547955.1	Pseudomonas aeruginosa
GCF_001548135.1	Pseudomonas aeruginosa
GCF_001548335.1	Pseudomonas aeruginosa
GCF_001594325.2	Pseudomonas aeruginosa
GCF_001606045.1	Pseudomonas aeruginosa
GCF_001618925.1	Pseudomonas aeruginosa
GCF_001632245.1	Pseudomonas aeruginosa
GCF_001679685.1	Pseudomonas aeruginosa
GCF_001687285.1	Pseudomonas aeruginosa
GCF_001721745.1	Pseudomonas aeruginosa
GCF_001721765.1	Pseudomonas aeruginosa
GCF_001721785.1	Pseudomonas aeruginosa
GCF_001721805.1	Pseudomonas aeruginosa
GCF_001721825.1	Pseudomonas aeruginosa
GCF_001721845.1	Pseudomonas aeruginosa
GCF_001722005.2	Pseudomonas aeruginosa
GCF_001722025.1	Pseudomonas aeruginosa
GCF_001722045.1	Pseudomonas aeruginosa
GCF_001729505.1	Pseudomonas aeruginosa
GCF_001750705.1	Pseudomonas aeruginosa
GCF_001792835.1	Pseudomonas aeruginosa
GCF_001792855.1	Pseudomonas aeruginosa
GCF_001792875.1	Pseudomonas aeruginosa
GCF_001870265.1	Pseudomonas aeruginosa
