,Organism (NCBI),Accession Number,File Name,Species (GTDB),Number of Operons,Average Operon Size,Min Operon Size,Max Operon Size
0,Pseudomonas aeruginosa,GCF_003025345.2,GCF_003025345.2_ASM302534v2_genomic.gbff.gz,Pseudomonas aeruginosa A,4,5154.75,5154,5155
1,Pseudomonas aeruginosa,GCF_003073695.1,GCF_003073695.1_ASM307369v1_genomic.gbff.gz,Pseudomonas aeruginosa A,4,5152.5,5151,5156
2,Pseudomonas fluorescens SBW25,GCF_000009225.2,GCF_000009225.2_ASM922v1_genomic.gbff.gz,Pseudomonas E marginalis,5,5261.0,5216,5441
3,Pseudomonas fluorescens Pf0-1,GCF_000012445.1,GCF_000012445.1_ASM1244v1_genomic.gbff.gz,Pseudomonas E fluorescens AR,6,5253.0,5208,5439
4,Pseudomonas fluorescens F113,GCF_000237065.1,GCF_000237065.1_ASM23706v1_genomic.gbff.gz,Pseudomonas E kilonensis,5,5253.8,5209,5432
5,Pseudomonas fluorescens NCIMB 11764,GCF_000293885.2,GCF_000293885.2_ASM29388v3_genomic.gbff.gz,Pseudomonas E fluorescens B,5,5244.0,5173,5435
6,Pseudomonas fluorescens,GCF_000730425.1,GCF_000730425.1_ASM73042v1_genomic.gbff.gz,Pseudomonas E fluorescens X,5,5271.6,5227,5450
7,Pseudomonas fluorescens,GCF_000934565.1,GCF_000934565.1_ASM93456v1_genomic.gbff.gz,Pseudomonas E simiae,6,5225.0,5014,5449
8,Pseudomonas fluorescens PICF7,GCF_000963495.1,GCF_000963495.1_ASM96349v1_genomic.gbff.gz,Pseudomonas E simiae,6,5239.0,5014,5440
9,Pseudomonas fluorescens,GCF_001307155.1,GCF_001307155.1_ASM130715v1_genomic.gbff.gz,Pseudomonas E fluorescens E,6,5212.5,5203,5244
10,Pseudomonas fluorescens,GCF_001307275.1,GCF_001307275.1_ASM130727v1_genomic.gbff.gz,Pseudomonas E fluorescens AA,5,5279.8,5224,5466
11,Pseudomonas fluorescens,GCF_001708445.1,GCF_001708445.1_ASM170844v1_genomic.gbff.gz,Pseudomonas E fluorescens AN,1,5215.0,5215,5215
12,Pseudomonas fluorescens,GCF_001747385.1,GCF_001747385.1_ASM174738v1_genomic.gbff.gz,Pseudomonas E sp002966775,6,5251.166666666667,5208,5438
13,Pseudomonas fluorescens,GCF_003055645.1,GCF_003055645.1_ASM305564v1_genomic.gbff.gz,Pseudomonas E fluorescens AR,6,5260.833333333333,5182,5472
