accession;gtdb_taxonomy;lsu_silva_23s_taxonomy;ncbi_organism_name;ncbi_taxonomy;ssu_silva_taxonomy
93263;GCF_000465235.1;Campylobacter_D coli;Campylobacter coli CVM N29710;Campylobacter coli CVM N29710;Campylobacter coli;Campylobacter jejuni 30318
10680;GCF_000494775.1;Campylobacter_D coli;Campylobacter jejuni K5;Campylobacter coli 15-537360;Campylobacter coli;Campylobacter jejuni 30318
28928;GCF_000583755.1;Campylobacter_D coli;Campylobacter coli RM1875;Campylobacter coli RM1875;Campylobacter coli;Campylobacter coli RM1875
16675;GCF_000583795.1;Campylobacter_D coli;Campylobacter coli RM5611;Campylobacter coli RM5611;Campylobacter coli;Campylobacter jejuni 30318
52579;GCF_000954195.1;Campylobacter_D coli;Campylobacter jejuni K5;Campylobacter coli;Campylobacter coli;Campylobacter jejuni 30318
90511;GCF_001417635.1;Campylobacter_D coli;Campylobacter coli RM5611;Campylobacter coli;Campylobacter coli;Campylobacter jejuni 30318
84451;GCF_001483845.1;Campylobacter_D coli;Campylobacter jejuni K5;Campylobacter coli;Campylobacter coli;Campylobacter jejuni 30318
40033;GCF_001639125.1;Campylobacter_D coli;Campylobacter coli CVM N29710;Campylobacter coli;Campylobacter coli;Campylobacter jejuni 30318
13995;GCF_001717605.1;Campylobacter_D coli;Campylobacter coli 2688;Campylobacter coli;Campylobacter coli;Campylobacter jejuni 30318
135933;GCF_001865455.1;Campylobacter_D coli;Campylobacter jejuni K5;Campylobacter coli;Campylobacter coli;Campylobacter jejuni 30318
43700;GCF_001865475.1;Campylobacter_D coli;Campylobacter jejuni K5;Campylobacter coli;Campylobacter coli;Campylobacter jejuni 30318
90923;GCF_001865495.1;Campylobacter_D coli;Campylobacter coli IPSID-1;Campylobacter coli;Campylobacter coli;Campylobacter coli RM2228
80285;GCF_001865515.1;Campylobacter_D coli;Campylobacter jejuni K5;Campylobacter coli;Campylobacter coli;Campylobacter jejuni 30318
68221;GCF_001865535.1;Campylobacter_D coli;Campylobacter coli 7--1;Campylobacter coli;Campylobacter coli;Campylobacter jejuni 30318
33766;GCF_001865555.1;Campylobacter_D coli;Campylobacter jejuni K5;Campylobacter coli;Campylobacter coli;Campylobacter jejuni 30318
52094;GCF_001936355.1;Campylobacter_D coli;Campylobacter coli 2688;Campylobacter coli;Campylobacter coli;Campylobacter jejuni 30318
5397;GCF_002024185.1;Campylobacter_D coli;Campylobacter jejuni K5;Campylobacter coli;Campylobacter coli;Campylobacter jejuni 30318
132861;GCF_002407145.1;Campylobacter_D coli;Campylobacter coli 1417;Campylobacter coli;Campylobacter coli;Campylobacter jejuni 30318
89206;GCF_002843985.1;Campylobacter_D coli;Campylobacter jejuni K5;Campylobacter coli;Campylobacter coli;Campylobacter coli RM2228
8329;GCF_003030205.1;Campylobacter_D coli;Campylobacter jejuni K5;Campylobacter coli;Campylobacter coli;Campylobacter jejuni 30318
27366;GCF_000015085.1;Campylobacter fetus;Campylobacter fetus subsp. venerealis 97/608;Campylobacter fetus subsp. fetus 82-40;Campylobacter fetus;Campylobacter fetus subsp. venerealis 97/608
95081;GCF_000495505.1;Campylobacter fetus_A;Campylobacter fetus subsp. testudinum;Campylobacter fetus subsp. testudinum 03-427;Campylobacter fetus;Campylobacter fetus subsp. testudinum
86672;GCF_000512745.2;Campylobacter fetus;Campylobacter fetus subsp. venerealis 97/608;Campylobacter fetus subsp. venerealis cfvi03/293;Campylobacter fetus;Campylobacter fetus subsp. venerealis 97/608
138052;GCF_000759485.1;Campylobacter fetus;Campylobacter fetus subsp. fetus 04/554;Campylobacter fetus subsp. fetus 04/554;Campylobacter fetus;Campylobacter fetus subsp. fetus 04/554
49305;GCF_000759515.1;Campylobacter fetus;Campylobacter fetus subsp. venerealis 97/608;Campylobacter fetus subsp. venerealis 97/608;Campylobacter fetus;Campylobacter fetus subsp. venerealis 97/608
40902;GCF_000814265.1;Campylobacter fetus_A;Campylobacter fetus subsp. testudinum;Campylobacter fetus subsp. testudinum;Campylobacter fetus;Campylobacter fetus subsp. testudinum
11293;GCF_000967135.1;Campylobacter fetus;Campylobacter fetus subsp. venerealis str. 84-112;Campylobacter fetus subsp. venerealis str. 84-112;Campylobacter fetus;Campylobacter fetus subsp. venerealis 97/608
1271;GCF_001484645.1;Campylobacter fetus_A;Campylobacter fetus subsp. testudinum;Campylobacter fetus subsp. testudinum Sp3;Campylobacter fetus;Campylobacter fetus subsp. testudinum
56952;GCF_001686885.1;Campylobacter fetus;Campylobacter fetus subsp. venerealis 97/608;Campylobacter fetus subsp. venerealis;Campylobacter fetus;Campylobacter fetus subsp. venerealis 97/608
137732;GCF_002973655.1;Campylobacter fetus_A;Campylobacter fetus subsp. testudinum;Campylobacter fetus subsp. testudinum;Campylobacter fetus;Campylobacter fetus subsp. testudinum
26063;GCF_900475935.1;Campylobacter fetus;Campylobacter fetus subsp. venerealis 97/608;Campylobacter fetus subsp. fetus;Campylobacter fetus;Campylobacter fetus subsp. venerealis 97/608
76397;GCF_000009085.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni NCTC 11168-GSv;Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
140023;GCF_000011865.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni F38011;Campylobacter jejuni RM1221;Campylobacter jejuni;Campylobacter jejuni 30318
